Period_Sales,Period_DeliveryDelay,Cost_Manufacturing,Cost_Indirect,Cost_Packing,Percent_Margin,Amount_Margin,Amount_Net,Amount_ChannelMargin,Percent_Tax
44,24,94,33,139,18,691,5135,2362,24
13,0,56,20,129,51,754,3805,2317,14
23,4,38,2,188,36,1054,3880,1350,15
32,4,90,1,113,16,1089,4273,1256,8
26,22,37,1,174,30,571,3155,1163,15
39,19,43,12,107,15,836,5789,2310,19
52,7,76,7,114,19,1132,3003,1560,13
35,5,67,1,111,13,915,4579,1969,19
32,24,51,44,109,26,1033,3905,1251,9
2,19,97,20,112,59,591,4644,1496,9
34,15,15,30,120,23,1159,3541,1121,10
59,3,31,20,102,12,1170,5908,1125,19
48,3,33,34,127,18,530,3703,1209,10
41,23,71,13,198,56,1249,5693,1667,11
48,17,21,11,149,55,922,3286,1492,12
18,19,52,3,140,56,881,4108,2473,21
58,23,23,42,199,14,559,3296,2209,10
15,19,51,38,186,33,735,4045,1651,13
43,11,18,27,165,26,1272,3202,1286,8
54,19,59,32,179,44,1296,5985,2497,8
3,24,52,26,104,20,832,3126,2467,13
35,13,87,28,117,11,539,3895,1984,18
45,13,70,34,102,22,640,5747,2109,16
35,15,50,34,135,23,776,4277,2005,3
29,10,80,33,189,28,513,5870,2369,6
31,17,22,34,142,43,677,4287,2201,23
20,19,30,48,136,29,1147,3755,1295,13
17,12,40,33,122,32,1282,4647,2276,12
44,1,72,44,157,30,876,5011,1681,4
36,1,60,16,184,11,1306,3393,2458,13
24,10,53,10,185,27,784,3518,1135,13
36,11,10,34,147,48,629,4154,1393,18
40,6,25,49,136,56,1012,4960,2134,15
56,5,51,16,110,48,789,5160,2051,13
12,12,59,0,112,35,1407,3448,1578,15
10,17,30,7,196,16,930,4407,2272,1
57,16,97,48,176,37,1415,4991,2050,7
56,16,67,15,113,16,1246,3891,1271,13
47,18,55,22,179,38,523,3480,2256,2
38,11,56,42,144,48,898,5342,2274,24
10,17,75,30,176,16,588,3014,1541,8
39,21,13,11,198,26,899,4092,1427,21
54,16,86,13,167,11,1105,4086,1059,6
18,19,62,19,149,39,930,4338,2152,19
18,5,94,5,130,53,1006,3933,1203,1
33,7,88,14,199,19,753,4656,1223,24
22,14,42,12,179,47,919,5557,2363,1
27,16,56,27,145,16,1149,5128,1967,20
3,18,82,26,155,43,1050,3129,1592,9
22,9,65,6,191,11,1415,3227,1558,18
4,4,45,22,177,12,1098,3928,1885,21
47,8,67,13,120,31,815,5685,1487,11
59,5,78,40,137,40,780,3313,2139,8
25,7,66,38,170,50,1083,5304,1210,18
4,11,56,24,119,29,950,4705,1019,23
47,10,38,15,151,10,793,4073,1942,23
23,3,93,35,194,29,649,3774,1558,1
4,10,17,2,104,52,1024,5429,2199,4
36,7,11,45,113,32,1229,4266,1879,1
43,20,34,38,145,26,983,4925,1897,17
26,19,16,46,170,43,513,3786,2141,19
35,2,75,48,195,58,1072,4529,2048,5
59,5,79,28,179,12,1357,3587,2146,1
44,16,37,0,183,34,894,4038,1385,18
8,4,76,8,183,23,563,5693,1249,16
33,13,59,36,192,36,943,5235,1499,22
31,10,51,23,111,32,1331,5690,1707,20
2,5,32,24,183,26,783,4261,1785,24
2,22,58,2,198,20,1015,3931,1652,24
30,11,35,6,148,52,1429,5773,1133,10
2,0,15,17,168,40,1296,5931,1923,16
25,18,77,0,130,51,1028,5645,1356,8
27,14,85,1,109,22,692,4006,2253,10
23,8,56,19,117,23,742,4736,1214,13
45,16,23,1,126,53,1031,3046,1267,15
20,7,17,41,133,49,660,3552,1663,18
19,1,43,37,143,29,833,5196,1628,1
9,19,66,8,125,13,585,5827,1454,8
21,10,59,30,197,55,806,5579,1915,1
31,14,25,1,101,48,1218,5177,1538,13
10,12,46,27,112,28,764,4489,2145,15
30,6,14,36,168,55,720,3400,2263,6
42,20,22,25,166,49,1379,3079,1794,4
42,2,51,1,166,24,1364,3685,2080,12
24,12,64,48,187,23,1263,5023,1353,9
36,0,39,34,119,11,1102,5371,1942,20
28,8,14,13,127,57,1086,4228,2407,3
58,21,38,45,180,31,916,5918,1583,7
40,15,67,21,174,48,756,4046,1160,4
20,6,19,12,143,21,853,3833,1124,21
35,4,52,31,106,52,1279,4761,1687,2
47,20,28,8,165,23,1222,3378,1636,24
48,22,27,27,198,38,678,5160,1225,2
14,12,25,7,156,51,649,5453,2170,3
22,6,79,1,100,53,588,3848,1468,5
44,23,67,3,198,19,1061,4928,1050,16
4,2,99,45,141,56,628,4365,1845,13
28,5,82,3,181,45,1296,3474,2083,1
39,10,82,48,186,13,740,5307,1052,16
42,18,82,34,162,34,1472,4428,1091,14
23,2,90,35,190,43,1166,5167,1511,6
21,15,44,23,179,27,543,4907,1891,2
20,12,42,24,153,17,924,3797,1229,5
34,17,41,48,194,23,1196,3252,2436,5
41,20,31,9,174,49,1365,4769,1666,16
59,9,89,35,157,33,1454,5234,1816,2
10,15,44,40,189,25,934,4885,1464,16
12,17,59,1,194,24,657,4389,1572,8
52,17,98,30,116,38,1479,5105,1573,23
34,4,73,49,193,40,842,4705,1422,13
36,7,32,2,108,43,577,5619,1876,24
54,0,18,5,102,20,639,3579,2306,9
51,17,40,38,127,11,1334,4242,1097,17
9,6,17,29,123,45,611,5062,1821,9
13,7,34,20,100,22,1072,4005,2450,22
47,23,21,41,150,45,1090,3695,1368,16
31,17,84,1,193,54,1300,5408,1055,3
39,16,74,27,169,40,1011,4248,1371,21
49,9,38,11,151,17,1437,4529,1372,7
45,6,20,4,128,13,729,4319,2008,19
59,21,22,40,167,32,958,3657,1669,15
56,16,77,23,121,20,1127,4460,2194,13
21,15,96,45,147,53,1086,5601,2187,20
55,1,93,8,141,29,1368,3212,1825,15
5,16,24,5,151,15,817,3954,1550,7
52,8,16,6,196,23,1146,4594,1709,11
18,6,90,27,183,23,1136,3589,2388,12
45,8,12,21,141,35,1126,5137,1988,20
4,23,88,35,117,28,694,5178,1489,11
49,7,44,22,133,30,1188,5929,2245,18
0,9,31,38,120,38,1131,3797,2423,14
17,10,79,19,160,23,961,4237,1327,10
11,1,36,0,127,41,613,5314,1227,2
0,3,90,27,197,52,762,3625,1686,6
11,14,16,3,165,23,1208,5567,2455,12
9,22,19,1,171,43,1179,5913,2200,4
19,16,49,28,132,11,1332,5859,1735,10
27,11,33,9,105,40,1130,3352,1962,2
43,11,45,37,178,54,893,4361,1114,3
9,15,33,43,163,17,859,4925,1379,22
58,22,14,43,173,14,866,3190,1930,10
55,7,30,36,197,38,1140,4150,2087,10
16,20,31,16,127,17,1053,3488,1839,21
57,0,26,35,108,53,1351,5140,1102,7
17,5,61,45,104,17,599,3427,1606,24
35,4,26,23,114,34,1314,3319,1313,21
18,24,73,27,130,43,711,4852,1282,24
44,21,77,32,144,59,1276,5162,2278,13
58,1,61,32,112,40,863,5044,1745,17
35,19,52,2,151,43,1242,4947,2338,2
47,20,17,1,175,31,717,5870,2132,10
8,23,21,17,112,12,707,3766,2255,6
9,19,75,13,108,36,1079,5252,1254,16
45,14,30,1,102,18,577,5383,1901,10
32,17,41,40,101,50,516,3447,1585,4
42,21,77,37,123,14,1427,4870,1881,15
29,21,89,2,112,19,827,5913,1536,23
51,18,99,8,122,42,1184,4741,1450,2
52,8,80,8,170,32,1484,3646,1557,21
48,8,79,45,130,17,1474,5467,1511,6
27,3,89,49,162,41,1449,4506,2181,11
30,16,61,36,156,20,1231,4262,1953,6
2,13,48,47,181,46,577,3456,1618,9
37,16,99,17,142,14,1358,4751,1961,10
5,20,36,32,101,17,1055,4408,1452,4
31,16,71,1,123,51,1274,4117,1308,21
56,21,59,39,190,25,1278,4776,2003,7
34,22,61,16,112,19,650,4360,1291,17
2,8,13,48,140,29,1021,4507,2097,9
5,6,48,1,152,22,634,4969,1156,1
37,23,54,16,149,19,1061,4533,2420,12
36,13,15,41,159,43,845,3468,1169,17
30,5,68,41,105,38,1368,3907,2398,3
17,1,72,19,107,29,609,5380,1808,7
51,9,54,9,173,19,883,4548,2266,4
53,1,67,7,140,21,684,5153,2467,17
23,12,69,29,194,53,599,4253,2259,17
50,11,97,40,150,50,1321,5888,1843,23
42,11,38,6,187,48,1408,4564,2210,12
57,3,52,25,157,20,1351,3266,1573,23
52,23,40,3,123,56,878,4929,1979,20
59,12,22,16,123,36,1242,4339,1333,14
53,2,83,44,141,36,972,5561,1520,13
28,4,57,48,166,13,1216,3736,2326,9
10,10,81,29,125,20,650,5146,1769,21
59,3,41,25,153,31,698,3783,2011,17
22,10,90,32,165,59,513,3251,2333,17
51,4,55,19,152,17,1050,3028,1807,21
11,5,20,2,133,40,1060,3701,1409,12
32,23,90,21,118,59,902,4041,1074,10
27,11,32,45,111,31,946,3403,2496,20
47,23,50,36,144,54,880,3201,1640,8
13,15,19,5,173,31,787,5895,1347,10
11,0,82,22,111,13,1297,5743,1196,4
19,13,93,16,117,48,729,4375,2430,24
7,2,45,21,114,21,909,5767,2301,20
10,16,81,49,126,43,1144,5907,2395,16
27,7,55,1,102,58,1283,5434,1195,1
45,3,87,43,175,54,592,4006,2390,7
40,5,14,40,180,38,1168,5310,1317,7
43,3,73,32,150,30,563,3613,1569,15
26,24,80,30,189,57,593,3069,1176,7
37,18,51,11,192,46,673,4752,1330,24
5,11,32,46,192,37,833,4562,1614,16
24,23,72,47,173,35,814,4631,1481,23
48,13,13,42,169,21,894,4972,2341,6
10,21,28,22,175,31,545,3703,1485,18
48,1,89,49,187,52,1360,4393,2153,15
46,11,75,16,190,58,579,4103,1574,21
42,14,27,38,192,40,1388,3096,1537,2
18,22,90,5,188,52,853,5882,2149,19
27,5,48,27,139,26,880,3922,1853,21
47,0,92,11,124,48,1224,3481,1367,17
53,13,25,48,169,44,1472,5153,1994,19
27,18,71,26,149,32,573,3957,2488,14
31,3,35,2,135,30,513,4686,1683,23
17,20,80,47,143,54,902,5327,1244,5
3,22,64,33,141,22,751,4951,2064,11
39,15,42,0,169,45,1099,3268,2123,16
15,17,56,8,153,41,525,4596,2194,20
16,5,49,42,136,13,1321,3904,1699,13
20,5,23,4,142,13,952,5003,2164,14
48,4,39,39,163,56,665,3789,2091,3
32,11,87,18,126,39,511,4106,1609,2
5,21,30,11,192,14,802,5063,2345,2
18,23,68,42,108,32,527,3254,1488,10
28,10,38,24,161,33,816,4443,1644,15
55,13,87,25,119,50,1000,5818,1489,2
57,4,11,1,136,11,1486,4691,2317,10
53,21,98,5,108,15,1010,3487,1434,21
38,6,80,2,123,54,936,5887,1753,4
38,5,68,13,156,15,1186,4466,1843,12
25,6,27,11,109,49,791,5751,1146,10
18,0,44,29,109,22,1403,4748,1573,4
3,11,55,21,127,17,1040,3671,1031,12
18,5,73,41,157,48,684,3985,2470,11
29,3,93,40,111,24,1485,4660,2484,16
38,18,59,0,105,57,1158,3864,1342,22
21,23,77,44,171,22,1344,3408,1692,22
41,8,68,8,197,29,1491,3121,2125,12
46,15,53,27,132,52,985,4530,2498,10
46,16,77,8,151,27,539,3876,1546,5
59,18,30,10,131,43,1315,3341,1504,9
52,19,81,48,178,15,571,5778,1052,18
44,7,50,35,134,29,733,5541,2075,5
54,5,89,1,199,54,1411,3980,1606,7
39,11,61,9,155,33,1220,4460,2104,12
29,1,17,27,181,55,743,5062,2246,20
56,23,32,44,182,13,772,4454,1389,22
38,16,20,22,133,54,763,4286,2370,15
45,3,93,36,177,28,1375,4044,1390,4
53,21,68,36,145,57,783,4721,1216,23
49,24,33,18,114,15,867,3033,1741,19
38,23,54,11,132,27,505,5493,2198,7
58,14,33,44,191,35,608,4281,1097,4
43,19,20,33,184,19,923,4437,2362,23
29,20,52,24,107,39,793,4899,2461,22
2,19,85,45,111,24,1327,5284,1366,9
13,15,15,40,127,16,646,5346,1037,14
42,24,39,30,141,46,1159,5170,1501,21
27,3,56,19,185,35,639,5062,2037,18
24,16,68,15,138,27,690,3043,1762,19
26,5,82,27,195,32,1423,4094,1342,13
6,8,26,14,131,45,1045,4513,1899,21
26,2,38,34,160,27,1242,4167,1004,11
45,3,91,38,108,37,1222,4211,1171,18
51,13,36,6,109,11,551,5236,1455,15
3,7,80,33,143,43,898,3750,1082,13
33,16,93,7,123,17,1115,5215,1521,8
54,21,91,33,117,15,1077,4352,1364,16
52,20,74,16,104,49,1413,4662,1449,13
28,19,90,47,187,38,579,4082,1557,7
23,23,28,25,105,38,1468,5261,1908,23
20,19,71,28,192,54,1062,5774,1544,15
46,21,13,45,198,35,640,4277,1173,22
31,16,78,2,103,17,1272,3219,1441,3
11,24,47,34,193,35,1189,4373,1321,16
6,9,57,0,152,11,552,3267,1604,15
29,2,13,32,176,15,941,4520,2056,1
52,0,48,12,177,10,945,4292,2401,18
44,22,81,19,157,31,896,3857,1595,15
42,16,67,1,102,35,527,5299,1018,1
38,13,33,47,183,23,520,5428,1811,19
55,17,36,17,134,52,1394,4781,2134,6
52,14,82,32,129,22,1409,5518,1174,21
50,14,14,45,199,58,1245,4737,2056,23
20,13,54,14,170,30,575,5902,1135,17
55,3,61,42,191,44,1065,5928,2053,23
32,0,70,43,150,40,1263,3467,1913,8
22,17,28,13,134,55,1367,5932,2392,20
20,23,66,18,114,36,604,3566,1376,11
51,15,76,39,101,48,1055,5823,1154,4
7,18,25,17,146,44,1115,5744,1925,15
6,14,94,4,120,57,575,5732,1561,5
47,5,16,7,110,10,1498,4349,1028,24
3,23,36,17,111,52,978,3122,1473,23
16,21,99,22,140,13,1157,3778,1998,19
9,10,71,7,181,25,975,3772,1067,3
29,8,96,43,125,58,674,3692,2275,16
19,23,42,14,124,53,616,3102,1379,5
20,2,17,42,179,23,892,3437,1008,22
49,4,28,32,178,58,845,4093,2360,10
33,10,91,29,127,59,715,4012,1687,19
53,15,87,45,136,19,516,3504,1333,13
21,23,79,21,140,51,882,4192,1110,1
31,19,24,11,130,38,510,3943,1228,2
43,13,99,23,153,20,1253,4820,1045,9
20,23,54,7,180,52,972,4362,2128,21
3,12,63,1,159,18,1332,5660,1880,4
7,12,27,42,191,22,1404,5323,1571,17
45,16,43,6,183,18,1092,4633,1144,2
38,2,59,36,113,46,1046,5788,1490,13
33,18,20,39,179,45,619,4541,1933,5
29,9,61,39,119,23,599,4607,1366,12
49,10,50,2,118,51,789,3560,1805,24
37,2,37,40,114,30,570,3390,1297,16
21,16,24,45,116,49,1111,5712,1442,17
24,16,42,6,134,51,1373,3322,1512,14
38,13,69,1,180,45,1191,5223,1694,22
38,9,85,17,183,19,1275,3803,2048,15
3,11,31,12,199,27,916,5998,2346,12
2,18,79,13,144,16,586,5907,1649,23
42,13,47,5,101,10,654,5383,2424,1
23,21,12,9,161,34,1496,5513,2095,7
49,7,27,41,116,39,1379,5882,1909,15
38,3,23,18,105,30,932,4042,1364,20
10,12,54,7,145,21,929,3424,2297,1
53,7,40,33,119,38,1109,4948,1514,9
36,23,27,15,184,13,1479,3172,1164,18
5,7,71,47,125,53,1353,4854,1634,6
3,1,17,19,196,42,955,4580,1406,15
13,24,84,49,165,29,619,4524,1875,10
33,21,66,44,126,46,1456,4389,2166,12
32,23,91,31,144,34,1168,5101,1680,18
31,5,36,26,100,34,1040,5552,1203,11
38,14,16,47,185,17,586,3101,1051,6
5,14,64,17,113,57,1282,3393,1341,2
11,9,54,6,132,19,705,3148,1819,15
0,10,75,46,142,14,1157,4899,1504,20
54,22,31,35,114,35,799,4059,2056,3
43,16,20,9,114,52,852,3509,1581,5
5,13,91,48,107,53,1492,3317,2240,10
7,6,59,23,108,44,1358,5342,1291,8
6,8,51,22,191,41,866,4948,1320,2
24,13,10,40,153,54,983,4179,1652,23
28,16,95,14,157,21,1304,3940,1546,15
27,5,14,33,141,31,518,5881,1035,22
24,12,20,26,170,10,1162,5397,1637,19
14,19,27,22,179,11,591,5888,1294,4
44,19,40,41,102,33,605,3191,2243,20
54,14,64,13,111,20,910,3362,1629,13
13,16,84,0,158,53,1281,4765,2424,23
34,15,21,19,178,47,660,3898,2337,10
30,19,69,49,158,21,1184,3527,2244,6
14,2,80,31,152,29,1338,5874,1433,6
56,9,26,2,121,27,1433,3708,1313,17
55,11,20,19,109,42,847,5044,1470,19
6,10,53,28,172,29,1042,5319,1352,8
55,14,67,15,135,12,815,4133,2253,5
20,16,52,18,188,34,1451,3631,2434,16
18,15,99,22,118,40,854,3610,2215,23
27,13,56,31,141,36,814,4990,1014,21
10,22,72,36,173,43,1017,3737,1007,5
58,2,19,36,121,36,1329,4731,1673,23
50,1,65,22,175,31,900,3058,2022,8
16,15,89,15,141,27,1273,4750,1574,22
12,9,17,49,190,49,1005,5924,1161,15
16,21,35,15,143,29,1464,4071,2016,23
44,10,75,14,144,56,929,3106,2265,4
57,1,23,44,116,59,730,5759,1561,18
50,13,84,2,195,58,933,5238,1922,15
25,24,28,10,150,17,1024,4897,1502,6
0,10,49,16,157,29,1394,4450,2308,22
38,4,59,10,117,32,1356,5274,2489,21
4,3,33,47,139,11,752,4236,1533,12
0,17,95,32,129,56,1114,4152,1657,5
32,9,35,29,182,11,737,3119,2181,9
25,15,50,15,192,32,731,4134,1966,22
11,5,15,35,147,33,1121,4127,1903,8
52,4,67,22,176,28,663,3884,2173,1
22,4,67,37,190,13,918,4244,1284,5
20,15,35,46,146,18,1172,4649,1821,1
30,11,44,4,158,34,1014,5982,2164,17
55,15,71,0,182,58,1203,3007,1969,11
20,13,92,48,156,28,606,4745,1891,23
4,11,22,8,145,55,631,3720,1309,15
59,13,12,18,114,11,776,3910,2149,7
48,24,26,32,120,38,955,4612,1627,4
14,2,81,10,159,43,892,3219,1143,19
11,0,13,24,126,48,1206,4771,1353,16
10,0,81,47,173,45,583,3341,1117,21
37,6,64,18,167,52,910,5793,1103,11
30,7,57,21,167,12,631,3026,2047,9
23,4,48,38,130,40,578,3822,1127,19
7,20,34,9,143,47,564,5299,1475,20
58,13,66,0,133,55,811,3672,1958,9
49,14,94,40,113,21,771,5349,2407,15
15,15,44,16,177,55,897,4776,1688,19
25,18,71,42,174,13,1056,3314,2092,22
13,1,59,28,181,58,1214,4096,1249,18
7,12,77,2,100,28,1284,4743,1979,8
13,4,75,45,152,42,938,5761,1721,9
33,8,83,18,126,21,739,4358,2167,6
46,21,68,14,172,46,1057,5196,2083,24
11,3,38,9,108,12,555,3431,2498,2
57,14,92,45,165,44,553,4081,2347,6
53,17,91,18,123,47,615,4954,1025,7
27,3,59,21,157,25,1389,3768,1727,18
23,9,90,32,160,26,1332,4380,1131,11
20,20,46,41,100,57,735,5136,2305,18
18,16,96,18,164,29,1087,4332,2055,17
42,23,36,7,193,37,1207,4169,1010,14
36,22,13,22,195,58,615,3897,2270,22
40,24,90,15,185,55,823,3360,1218,3
8,14,31,31,128,56,613,5294,2389,23
53,9,85,39,182,50,551,4201,1180,7
16,20,76,26,146,28,1069,5287,2444,19
44,7,68,15,127,28,659,3022,1998,11
2,6,47,25,116,49,666,5163,1310,13
55,16,12,20,137,20,1293,5164,1196,19
1,10,49,6,124,49,838,3819,1020,23
3,4,81,21,101,42,736,3464,2347,20
53,12,96,45,107,42,988,3958,2226,11
16,6,46,21,120,29,1280,4043,1355,9
29,7,10,10,151,58,864,5023,1233,10
17,15,38,11,193,23,633,3102,1665,14
39,18,77,15,125,35,1373,3697,1455,15
45,9,38,47,133,35,766,4531,1504,22
2,3,36,21,192,52,1070,4094,2457,19
43,14,13,14,134,23,1297,5272,2070,22
16,18,72,0,135,26,1469,3457,2396,10
52,7,24,31,133,58,1292,3343,1976,3
47,9,84,20,193,37,1015,4890,1509,11
8,22,96,12,163,26,944,3743,2092,18
31,14,27,11,129,45,1313,4579,1097,12
26,10,83,29,103,56,1449,5013,2249,5
1,7,88,9,108,33,885,4826,1644,23
41,12,71,40,121,37,654,4484,1491,23
44,11,59,4,163,47,614,5178,2039,7
56,12,60,34,119,17,1182,5144,1719,16
38,16,86,45,181,18,922,4652,1288,9
32,24,79,0,160,41,937,3003,1516,12
39,17,69,4,151,40,986,5825,1879,9
45,12,13,37,173,56,566,5802,1340,8
42,19,78,13,107,41,660,3889,2414,9
14,16,33,38,115,27,821,5347,1804,17
50,22,66,2,131,39,646,4057,2260,9
9,13,96,9,152,50,1227,4507,2269,22
1,12,36,25,109,39,567,3447,2360,10
18,17,75,28,176,20,1270,4579,1488,10
35,1,24,0,168,11,1285,4098,2144,13
50,16,76,37,189,18,819,4036,1015,20
59,20,59,31,179,42,961,4676,2245,2
22,16,66,6,153,25,961,5322,1957,2
52,23,84,25,147,40,1112,5940,1538,7
13,18,38,5,123,35,1248,3973,1983,2
44,1,76,7,184,10,1308,3879,1026,15
49,15,74,1,135,46,733,3691,1591,18
12,12,58,47,168,44,1305,4661,2329,9
59,6,68,8,143,41,539,4728,1171,17
0,2,30,42,137,55,1249,3042,1610,4
54,0,90,36,170,18,1243,4690,1662,9
12,10,92,19,164,24,1345,4634,1338,15
25,3,71,34,199,40,544,4463,1640,5
58,3,74,0,180,26,991,4304,1808,5
38,5,75,33,121,40,631,3907,2487,12
14,14,45,34,183,52,971,3015,1064,7
34,18,98,44,106,28,893,3136,1786,3
40,19,58,19,119,42,890,4429,1795,11
2,5,48,7,181,19,1247,5088,2246,11
32,4,10,47,123,15,747,5639,2463,1
21,16,17,8,176,25,875,4616,1281,18
7,9,30,32,131,12,1365,3297,1623,16
33,8,23,13,151,31,721,4900,2326,8
39,6,56,28,100,38,1466,4234,1506,4
1,3,41,47,156,20,1156,5570,2438,1
26,8,12,5,113,52,1481,5181,1685,20
31,15,88,4,108,54,943,5992,2348,23
58,1,29,25,188,29,879,3575,1103,10
40,1,10,16,146,32,520,5569,1654,13
54,3,90,12,148,34,819,4316,1435,3
19,18,18,40,115,35,726,3146,1482,15
52,0,49,28,166,43,1486,4981,2376,3
47,9,41,10,132,19,1045,4635,1911,21
16,0,98,41,120,18,1492,4046,1019,13
20,23,36,40,168,23,1227,5131,1960,17
44,7,80,30,159,41,1367,3293,1123,15
50,20,59,41,168,16,1390,3161,1242,6
59,23,17,0,174,11,1421,5541,1862,1
56,5,81,20,162,15,1397,5559,2144,16
42,19,50,9,159,59,1296,4215,2223,15
28,16,63,46,173,53,1115,4915,2402,14
11,18,19,39,145,55,1215,4866,1113,7
5,18,43,6,122,17,1021,5842,1309,1
58,14,43,44,160,34,615,3674,2052,13
0,12,97,15,143,18,1206,3591,2389,15
37,8,78,18,162,24,1282,4913,2261,24
25,0,14,32,151,39,1146,5063,1244,17
12,21,83,31,148,35,605,3578,1910,17
57,2,50,48,180,30,1220,3090,1818,5
48,14,16,22,122,11,1025,4454,1553,24
44,18,63,30,170,55,933,4357,2086,11
7,16,79,15,121,23,1340,4114,1804,2
0,9,93,22,100,24,739,5503,1024,24
53,16,26,27,192,38,1221,5350,1784,7
12,8,80,8,155,18,1241,5103,2234,8
19,6,41,40,138,49,1252,3482,2308,17
37,21,28,0,173,31,1031,3492,1169,3
28,22,87,1,167,28,962,4656,1855,14
4,20,62,48,112,40,1485,5037,2017,19
12,11,87,9,128,58,907,3700,2110,1
14,10,28,34,186,24,1114,5512,1968,16
0,21,44,49,114,19,749,5159,2393,3
7,10,62,30,120,50,560,3090,2203,14
13,19,43,34,188,15,702,3872,1717,6
37,13,90,21,163,51,623,3102,1552,19
31,23,93,24,163,47,615,3605,2097,10
42,21,51,4,158,19,895,3535,2278,3
57,18,93,30,165,58,1491,5067,1672,19
49,11,16,40,159,48,1173,3166,1346,12
7,8,54,45,129,56,1366,3630,1851,23
49,20,42,40,180,33,909,4786,2336,15
42,3,82,18,112,16,1360,3682,2007,15
10,17,66,3,122,20,1120,5980,1229,2
0,23,21,6,180,21,1326,5163,1015,18
33,12,36,47,100,26,1435,3899,2251,8
42,13,33,22,130,19,1038,4952,1037,13
38,21,20,19,191,58,906,5347,2087,11
23,4,87,46,189,39,1165,3818,2183,6
55,21,18,18,129,47,904,3631,1225,20
5,11,81,31,169,16,688,4979,2471,3
0,0,55,39,166,23,1404,4132,1802,3
29,1,61,34,119,30,700,4541,2074,15
58,13,58,13,136,25,1333,3615,1134,16
4,20,13,2,135,51,1044,4429,1185,22
32,11,74,47,179,17,937,3108,1018,9
12,18,97,36,142,37,753,3517,2098,10
36,19,59,25,155,44,1414,5996,1015,11
13,12,50,0,123,45,1148,3791,2399,9
50,10,18,42,141,58,888,5823,2480,19
26,14,20,9,195,47,1437,4121,2000,23
25,9,69,5,153,24,1256,3584,1877,16
33,22,66,14,186,45,1153,5830,1838,16
34,13,13,3,156,57,1081,4951,1553,12
2,7,31,41,102,32,1485,4414,1887,10
48,15,24,12,119,14,568,3383,2399,5
4,5,11,29,192,24,945,3628,1875,3
49,22,51,5,115,33,1347,3313,1938,16
48,20,88,49,146,16,1465,5453,2287,6
40,1,69,3,161,10,1341,4038,2482,1
48,13,17,18,149,18,553,5359,2492,22
19,16,65,7,115,36,955,3536,2473,14
16,19,56,18,147,52,1008,3438,1288,23
57,3,88,43,198,53,1319,5561,1952,19
19,1,41,7,178,53,589,3681,2291,5
9,4,80,48,177,54,819,3043,1768,15
49,12,39,42,178,19,1395,4447,1671,5
35,3,86,29,195,42,801,4394,1629,7
48,8,99,2,189,31,1200,5390,1662,13
13,3,52,5,135,33,662,4835,1807,8
35,4,54,48,151,12,1118,5293,2318,24
23,8,23,35,184,12,583,5639,2314,15
34,18,68,4,172,41,1268,3722,2073,2
47,3,54,14,143,10,558,4257,1034,23
16,21,50,6,131,58,1280,4749,1071,23
30,16,56,37,158,14,1079,4046,2159,1
52,19,74,29,100,47,842,4454,1847,22
1,13,82,43,112,35,522,5718,2296,17
32,18,91,31,155,54,928,5176,2073,14
4,19,98,14,135,47,922,3072,2216,14
31,16,57,35,145,52,1035,4678,1136,3
4,6,13,42,168,35,1062,4052,1407,2
58,6,54,45,192,34,697,4303,1503,10
8,10,77,6,132,30,581,4093,1891,19
22,2,80,1,105,50,866,3911,2214,3
16,21,32,27,104,19,884,3980,1962,15
28,14,51,39,153,42,1357,4688,1002,18
12,23,96,35,190,49,810,3609,2343,17
54,17,47,14,124,41,801,4903,2049,4
31,13,19,49,162,25,1151,4877,1906,21
38,3,68,19,126,32,1134,3110,2454,4
59,13,40,15,142,49,957,4002,1792,2
23,3,75,14,148,10,947,4314,1507,4
50,8,72,34,171,14,985,4799,1259,3
44,14,76,16,124,10,916,3929,1145,1
4,5,48,21,127,24,1444,5183,1551,5
16,23,35,19,140,58,1154,4129,1928,3
40,15,59,31,116,37,1118,3462,1222,7
58,21,58,4,144,58,687,5159,2239,8
31,16,68,20,170,44,953,5216,1479,16
2,14,29,31,160,11,516,3456,2161,20
33,17,72,1,131,17,881,5644,1331,9
19,12,77,34,189,16,822,5780,1839,8
47,16,70,12,194,54,1127,5726,1421,9
25,12,65,6,166,33,974,3111,2038,8
0,9,76,27,129,34,937,3191,1643,21
10,21,51,16,101,26,1079,5559,1810,4
35,19,67,2,136,22,823,3693,1580,17
45,20,47,39,111,19,1044,5106,2147,12
56,7,40,13,117,40,1437,4607,2350,1
33,22,44,5,198,41,1417,5376,1896,17
14,19,32,34,182,12,1215,5934,1156,11
57,5,78,34,129,46,872,4958,2118,19
52,11,60,4,151,12,530,4902,1071,19
36,14,54,32,126,58,983,4853,1549,12
46,4,91,30,129,19,1303,4383,2422,23
19,3,81,30,138,20,1127,5435,1532,17
49,2,86,31,143,48,1377,5180,1959,5
27,7,71,36,152,50,896,3762,2252,19
56,22,32,34,162,49,616,3962,2329,19
17,22,59,27,108,15,1440,3149,1929,21
29,16,94,46,118,29,1109,3139,1632,2
59,18,48,18,181,22,663,5518,1517,22
56,2,83,42,192,54,1151,3649,2076,6
38,2,17,15,161,39,1396,5124,1258,16
15,9,62,9,172,44,1401,5470,1303,22
3,7,88,3,153,50,1359,3739,1574,12
10,10,77,28,178,43,864,3059,2465,21
