Crime Type,Hour of the day,Longitude,Latitude,Neighborhood
theft,17,-93.278381,44.959469,WHITTIER
theft,19,-93.257912,44.976959,DOWNTOWN EAST
theft,17,-93.247498,44.991291,MARCY HOLMES
murder,2,-93.2709826,44.97711729,NORTH LOOP
murder,23,-93.25121206,44.95568689,EAST PHILLIPS
theft,13,-93.297897,44.948662,LOWRY HILL EAST
theft,18,-93.22538,44.904049,WENONAH
assault,1,-93.265549,44.967819,ELLIOT PARK
burglary,16,-93.213661,44.933231,HOWE
theft,14,-93.288429,44.9622,LOWRY HILL EAST
theft,21,-93.306168,44.98217,HARRISON
theft,10,-93.250664,44.948639,EAST PHILLIPS
theft,2,-93.291496,44.956421,LOWRY HILL EAST
theft,19,-93.274788,44.977982,DOWNTOWN WEST
theft,21,-93.261612,44.92577,NORTHROP
theft,10,-93.286751,44.997742,NEAR - NORTH
murder,15,-93.30845778,44.98436904,JORDAN
theft,18,-93.228012,45.033989,WAITE PARK
theft,10,-93.281052,44.972599,LORING PARK
murder,0,-93.23152161,44.95686946,SEWARD
burglary,21,-93.221268,44.917339,ERICSSON
burglary,18,-93.301819,44.94865,EAST ISLES
burglary,1,-93.23243,44.961231,SEWARD
burglary,19,-93.314247,44.995998,WILLARD - HAY
theft,17,-93.21244,44.948101,COOPER
assault,18,-93.282692,44.971489,LORING PARK
theft,0,-93.29863,44.994919,NEAR - NORTH
burglary,12,-93.247551,45.010872,HOLLAND
murder,6,-93.26763159,44.96152658,WHITTIER
theft,16,-93.274017,44.97506,DOWNTOWN WEST
theft,2,-93.298073,44.984261,HARRISON
murder,21,-93.2477843,44.95796527,VENTURA VILLAGE
theft,21,-93.305634,44.98048,HARRISON
murder,0,-93.30391532,44.98767549,WILLARD - HAY
burglary,22,-93.30954,45.018661,CLEVELAND
theft,22,-93.250954,44.96899,CEDAR RIVERSIDE
theft,22,-93.25563,44.989498,NICOLLET ISLAND - EAST BANK
assault,1,-93.26767,44.962688,VENTURA VILLAGE
theft,23,-93.212593,44.96719,PROSPECT PARK - EAST RIVER ROAD
assault,20,-93.25972,44.951698,MIDTOWN PHILLIPS
theft,15,-93.273064,44.975922,DOWNTOWN WEST
theft,11,-93.281837,44.949322,WHITTIER
theft,15,-93.219116,44.928768,HIAWATHA
burglary,9,-93.31813,44.994221,WILLARD - HAY
theft,13,-93.248489,44.984119,MARCY HOLMES
burglary,16,-93.292587,44.999149,HAWTHORNE
theft,20,-93.246788,44.984772,MARCY HOLMES
theft,0,-93.227943,44.958931,SEWARD
theft,0,-93.306107,44.986568,NEAR - NORTH
theft,13,-93.275749,44.91951,TANGLETOWN
theft,13,-93.239326,44.98061,UNIVERSITY OF MINNESOTA
burglary,18,-93.284683,44.940941,LYNDALE
assault,7,-93.30024,45.007912,JORDAN
murder,2,-93.27118079,44.96326979,STEVENS SQUARE - LORING HEIGHTS
burglary,18,-93.215363,44.97118,PROSPECT PARK - EAST RIVER ROAD
theft,2,-93.223267,44.97113,PROSPECT PARK - EAST RIVER ROAD
theft,14,-93.233856,44.949459,LONGFELLOW
murder,22,-93.25336074,44.96983685,EAST PHILLIPS
theft,9,-93.235672,44.951511,LONGFELLOW
murder,1,-93.26230886,45.0069908,STEVENS SQUARE - LORING HEIGHTS
theft,13,-93.236366,44.949348,LONGFELLOW
theft,18,-93.220383,44.94836,LONGFELLOW
burglary,2,-93.280533,44.947262,LYNDALE
theft,13,-93.291862,44.99971,HAWTHORNE
theft,18,-93.236366,44.949348,LONGFELLOW
murder,4,-93.2563513,44.95010091,POWDERHORN PARK
theft,20,-93.247971,44.898399,DIAMOND LAKE
murder,2,-93.27113908,44.98007034,STEVENS SQUARE - LORING HEIGHTS
theft,23,-93.249893,44.99509,ST ANTHONY EAST
theft,22,-93.275978,44.975449,DOWNTOWN WEST
burglary,14,-93.293953,45.01297,HAWTHORNE
burglary,11,-93.269829,44.970089,DOWNTOWN WEST
theft,16,-93.236366,44.949348,LONGFELLOW
theft,2,-93.2873,44.948139,LYNDALE
theft,15,-93.28347,44.934792,KING FIELD
murder,8,-93.26696478,44.95909368,WHITTIER
theft,18,-93.244072,44.968861,CEDAR RIVERSIDE
theft,9,-93.251999,44.95927,VENTURA VILLAGE
theft,0,-93.277023,44.943539,LYNDALE
murder,21,-93.29432107,45.00813907,FOLWELL
theft,7,-93.311401,45.03146,VICTORY
theft,13,-93.267418,44.973148,DOWNTOWN WEST
burglary,21,-93.260132,44.94836,MIDTOWN PHILLIPS
theft,18,-93.2724,44.976971,DOWNTOWN WEST
burglary,19,-93.241669,44.939789,CORCORAN
burglary,0,-93.283798,45.007549,HAWTHORNE
burglary,17,-93.226936,45.0131,WINDOM PARK
murder,2,-93.27304608,44.98100215,LORING PARK
theft,22,-93.301933,44.901661,KENNY
burglary,9,-93.302399,44.94865,EAST ISLES
theft,19,-93.294121,44.945511,CARAG
theft,8,-93.304298,44.948071,ECCO
theft,17,-93.24231,44.965321,CEDAR RIVERSIDE
burglary,16,-93.291939,44.981312,SUMNER - GLENWOOD
burglary,0,-93.303329,45.048939,SHINGLE CREEK
burglary,0,-93.254868,45.001041,LOGAN PARK
murder,0,-93.24400027,44.95423688,VENTURA VILLAGE
theft,17,-93.291786,44.984501,SUMNER - GLENWOOD
burglary,16,-93.298683,44.989498,NEAR - NORTH
theft,0,-93.26786,44.9762,DOWNTOWN WEST
theft,15,-93.275017,44.974751,DOWNTOWN WEST
theft,20,-93.275017,44.974751,DOWNTOWN WEST
murder,2,-93.305886,45.00755019,JORDAN
burglary,12,-93.238518,44.936069,STANDISH
theft,0,-93.32354,44.908298,FULTON
assault,20,-93.298462,45.008572,JORDAN
burglary,12,-93.23954,45.005421,NORTHEAST PARK
theft,14,-93.304817,45.018372,FOLWELL
burglary,19,-93.266357,45.008541,BOTTINEAU
murder,1,-93.26642542,45.00816487,HOLLAND
burglary,12,-93.216209,44.953602,COOPER
theft,3,-93.263397,44.933552,BRYANT
murder,1,-93.25622379,44.96086722,SEWARD
murder,13,-93.28073916,44.95870902,WHITTIER
theft,23,-93.25103,44.974072,DOWNTOWN EAST
theft,0,-93.28994,45.000038,HAWTHORNE
theft,0,-93.271683,45.006008,SHERIDAN
theft,23,-93.217041,44.92033,HIAWATHA
murder,20,-93.27144953,44.93331283,KING FIELD
murder,20,-93.29937306,44.99039529,NEAR - NORTH
theft,0,-93.281342,44.968189,LORING PARK
theft,1,-93.272781,44.980141,DOWNTOWN WEST
murder,2,-93.26660705,44.98291462,STEVENS SQUARE - LORING HEIGHTS
theft,3,-93.290604,45.002731,HAWTHORNE
assault,22,-93.277931,44.950321,WHITTIER
murder,2,-93.27062664,44.9656339,DOWNTOWN WEST
theft,11,-93.257858,44.9781,DOWNTOWN EAST
burglary,10,-93.232178,45.01947,AUDUBON PARK
theft,15,-93.328667,44.913078,FULTON
burglary,12,-93.256462,44.96006,VENTURA VILLAGE
theft,14,-93.278267,44.965069,STEVENS SQUARE - LORING HEIGHTS
burglary,9,-93.267128,44.930271,BRYANT
burglary,23,-93.224762,44.936008,HOWE
assault,0,-93.245209,44.944271,CORCORAN
assault,13,-93.2668,44.97459,DOWNTOWN WEST
theft,1,-93.259682,44.98048,DOWNTOWN WEST
burglary,11,-93.315033,45.004662,WILLARD - HAY
theft,22,-93.258614,44.966862,ELLIOT PARK
theft,0,-93.225677,44.973469,PROSPECT PARK - EAST RIVER ROAD
theft,21,-93.290466,45.036839,LIND - BOHANON
theft,0,-93.27459,44.968719,LORING PARK
burglary,9,-93.26445,45.011749,BOTTINEAU
theft,18,-93.230301,44.96373,SEWARD
theft,14,-93.28521,44.97953,NORTH LOOP
burglary,11,-93.23185,44.988789,COMO
burglary,14,-93.308388,45.04715,SHINGLE CREEK
murder,22,-93.24687532,44.96633394,CEDAR RIVERSIDE
theft,22,-93.289467,45.032299,WEBBER - CAMDEN
theft,18,-93.269081,44.97818,DOWNTOWN WEST
murder,20,-93.29676099,45.00315386,HAWTHORNE
theft,2,-93.25769,44.987808,NICOLLET ISLAND - EAST BANK
theft,16,-93.266182,44.962429,VENTURA VILLAGE
murder,17,-93.28036855,44.98734658,NEAR - NORTH
burglary,12,-93.297417,44.943359,CARAG
theft,15,-93.243042,44.955551,LONGFELLOW
murder,21,-93.29923915,44.98172219,ECCO
assault,20,-93.223839,44.898331,WENONAH
theft,19,-93.22702,44.975842,UNIVERSITY OF MINNESOTA
theft,0,-93.296898,44.948502,LOWRY HILL EAST
theft,19,-93.272926,44.976681,DOWNTOWN WEST
theft,12,-93.292976,45.002819,HAWTHORNE
burglary,4,-93.277473,44.956661,WHITTIER
theft,2,-93.27243,44.981781,DOWNTOWN WEST
theft,20,-93.225487,44.96909,PROSPECT PARK - EAST RIVER ROAD
burglary,19,-93.285118,44.912991,TANGLETOWN
theft,14,-93.293671,44.981628,SUMNER - GLENWOOD
theft,21,-93.277763,44.949291,WHITTIER
burglary,1,-93.276031,44.978741,DOWNTOWN WEST
theft,9,-93.276878,44.894981,WINDOM
murder,22,-93.25182857,44.95896791,VENTURA VILLAGE
murder,5,-93.26073059,44.95646865,VENTURA VILLAGE
burglary,16,-93.301262,45.000488,JORDAN
theft,11,-93.271873,45.006191,BOTTINEAU
burglary,23,-93.295563,44.905899,LYNNHURST
theft,2,-93.2733,44.9813,DOWNTOWN WEST
theft,9,-93.261528,44.94297,POWDERHORN PARK
murder,21,-93.2447027,44.95096969,HOWE
assault,2,-93.272522,44.982868,DOWNTOWN WEST
burglary,8,-93.289726,44.948879,LOWRY HILL EAST
theft,3,-93.286583,44.912071,TANGLETOWN
theft,19,-93.289589,44.946609,CARAG
burglary,0,-93.236267,44.988041,COMO
assault,23,-93.260902,44.958401,MIDTOWN PHILLIPS
theft,17,-93.230431,44.944519,LONGFELLOW
murder,22,-93.23180614,44.93528607,LONGFELLOW
burglary,16,-93.213661,44.933231,HOWE
burglary,4,-93.287987,44.999142,NEAR - NORTH
theft,22,-93.208,44.938301,HOWE
murder,0,-93.24469489,44.95523108,EAST PHILLIPS
theft,12,-93.261139,44.948502,POWDERHORN PARK
theft,18,-93.288017,45.013119,HAWTHORNE
theft,22,-93.319397,44.956051,CEDAR - ISLES - DEAN
theft,20,-93.257874,44.938641,POWDERHORN PARK
theft,1,-93.24691,44.968788,CEDAR RIVERSIDE
theft,23,-93.2733,44.9813,DOWNTOWN WEST
theft,18,-93.281036,44.975899,LORING PARK
theft,9,-93.275017,44.974751,DOWNTOWN WEST
murder,1,-93.30352941,45.00576199,WILLARD - HAY
theft,18,-93.217506,44.993439,MID - CITY INDUSTRIAL
theft,7,-93.247398,44.94474,POWDERHORN PARK
theft,9,-93.314903,44.973789,BRYN - MAWR
theft,2,-93.271339,44.98045,DOWNTOWN WEST
theft,4,-93.226334,44.935638,HOWE
theft,14,-93.266449,44.9786,DOWNTOWN WEST
theft,19,-93.277763,44.949291,WHITTIER
theft,21,-93.240112,44.965302,CEDAR RIVERSIDE
burglary,12,-93.252777,44.92374,NORTHROP
burglary,11,-93.273178,44.94331,CENTRAL
murder,2,-93.27220147,44.98233694,NORTH LOOP
theft,1,-93.293419,45.017109,FOLWELL
theft,18,-93.30024,44.991779,NEAR - NORTH
burglary,7,-93.296608,44.95129,LOWRY HILL EAST
assault,14,-93.295212,44.998039,NEAR - NORTH
theft,7,-93.234398,44.979939,UNIVERSITY OF MINNESOTA
burglary,9,-93.279091,44.95475,WHITTIER
murder,21,-93.24861325,44.95149008,PHILLIPS WEST
theft,19,-93.222557,44.923149,ERICSSON
theft,17,-93.27166,44.97649,DOWNTOWN WEST
theft,1,-93.291481,45.024319,WEBBER - CAMDEN
murder,18,-93.23757964,44.945972,EAST PHILLIPS
theft,13,-93.275703,44.938351,LYNDALE
burglary,22,-93.310913,44.914471,FULTON
assault,23,-93.271927,45.013161,BOTTINEAU
murder,22,-93.29510163,45.00905293,NEAR - NORTH
theft,19,-93.2855,44.971722,LORING PARK
theft,13,-93.253738,44.983959,MARCY HOLMES
theft,0,-93.248848,44.967411,CEDAR RIVERSIDE
assault,5,-93.268051,44.964111,VENTURA VILLAGE
burglary,22,-93.30954,45.018661,CLEVELAND
theft,23,-93.284653,44.949429,WHITTIER
theft,13,-93.288849,45.02784,WEBBER - CAMDEN
theft,16,-93.22393,44.94907,LONGFELLOW
burglary,19,-93.259361,44.99781,ST ANTHONY WEST
burglary,4,-93.235268,44.96484,CEDAR RIVERSIDE
theft,16,-93.287621,44.90242,WINDOM
burglary,11,-93.259483,44.894588,DIAMOND LAKE
murder,2,-93.27026496,44.96357425,STEVENS SQUARE - LORING HEIGHTS
theft,23,-93.25341,44.944248,POWDERHORN PARK
theft,16,-93.257896,44.95158,MIDTOWN PHILLIPS
theft,19,-93.224586,44.932209,HOWE
murder,9,-93.29168659,45.03249801,LIND - BOHANON
burglary,17,-93.257431,44.96846,ELLIOT PARK
burglary,11,-93.315521,45.01606,CLEVELAND
burglary,4,-93.305328,45.00935,JORDAN
theft,15,-93.267609,44.97641,DOWNTOWN WEST
theft,4,-93.276093,44.978321,DOWNTOWN WEST
murder,20,-93.3008966,44.99626141,JORDAN
theft,0,-93.295929,45.008999,JORDAN
theft,17,-93.284569,44.968288,LORING PARK
murder,2,-93.26735313,44.97873549,HOLLAND
theft,18,-93.288528,45.046009,LIND - BOHANON
theft,23,-93.272118,44.965752,STEVENS SQUARE - LORING HEIGHTS
theft,18,-93.30024,44.991779,NEAR - NORTH
theft,2,-93.236282,44.98085,MARCY HOLMES
burglary,14,-93.302803,45.01041,JORDAN
assault,17,-93.251999,44.95715,EAST PHILLIPS
assault,1,-93.248367,44.96936,CEDAR RIVERSIDE
theft,8,-93.250679,44.985291,MARCY HOLMES
theft,1,-93.272491,44.980042,DOWNTOWN WEST
burglary,8,-93.305237,44.913151,LYNNHURST
theft,12,-93.297409,45.033932,WEBBER - CAMDEN
theft,14,-93.258911,44.968441,ELLIOT PARK
theft,23,-93.2733,44.9813,DOWNTOWN WEST
theft,0,-93.25386,44.96244,VENTURA VILLAGE
theft,20,-93.282608,44.930988,KING FIELD
burglary,8,-93.265961,45.004089,SHERIDAN
theft,15,-93.295441,44.95734,EAST ISLES
burglary,18,-93.294724,44.9617,LOWRY HILL
murder,2,-93.2675936,44.97738852,HOLLAND
theft,10,-93.251228,44.948372,EAST PHILLIPS
burglary,8,-93.226059,44.941528,LONGFELLOW
theft,22,-93.271751,44.979408,DOWNTOWN WEST
theft,23,-93.256073,44.945889,POWDERHORN PARK
theft,0,-93.299721,45.008949,JORDAN
theft,0,-93.296051,45.00539,JORDAN
burglary,23,-93.30954,45.018661,CLEVELAND
assault,0,-93.277107,44.969582,LORING PARK
murder,18,-93.30622622,44.96774826,CARAG
burglary,23,-93.294548,44.993351,NEAR - NORTH
theft,11,-93.275017,44.974751,DOWNTOWN WEST
burglary,14,-93.303879,45.048939,SHINGLE CREEK
theft,9,-93.230827,44.94426,LONGFELLOW
burglary,12,-93.236641,44.96262,SEWARD
murder,22,-93.31664597,44.94573558,WEST CALHOUN
theft,15,-93.277763,44.949291,WHITTIER
murder,14,-93.30703819,44.98871344,BRYN - MAWR
theft,7,-93.254181,44.97541,DOWNTOWN EAST
assault,0,-93.294868,44.985802,NEAR - NORTH
murder,18,-93.28068892,44.9971925,HAWTHORNE
burglary,21,-93.266792,44.944309,CENTRAL
theft,0,-93.289658,45.023472,MCKINLEY
theft,11,-93.239357,44.906029,WENONAH
theft,0,-93.2799,44.90728,TANGLETOWN
theft,15,-93.323982,44.925121,LINDEN HILLS
theft,0,-93.283913,44.951439,WHITTIER
murder,0,-93.23523708,44.94882919,POWDERHORN PARK
theft,18,-93.282867,44.893452,WINDOM
theft,19,-93.277428,44.960121,WHITTIER
burglary,20,-93.264214,44.948479,PHILLIPS WEST
murder,18,-93.3064977,45.00816007,FOLWELL
assault,21,-93.304443,44.99633,WILLARD - HAY
burglary,12,-93.290604,45.001331,HAWTHORNE
assault,12,-93.261528,44.94297,POWDERHORN PARK
theft,9,-93.291908,45.011978,HAWTHORNE
burglary,23,-93.210548,44.948639,COOPER
theft,15,-93.272926,44.976681,DOWNTOWN WEST
murder,19,-93.29212582,44.99840951,NEAR - NORTH
murder,8,-93.26553766,44.96181889,ELLIOT PARK
murder,15,-93.30264158,44.97578302,BRYN - MAWR
theft,2,-93.276093,44.97958,DOWNTOWN WEST
assault,3,-93.269852,44.941601,CENTRAL
burglary,16,-93.310318,44.911789,FULTON
assault,14,-93.278488,44.980751,NORTH LOOP
theft,18,-93.297279,44.947441,CARAG
assault,0,-93.310219,44.987751,WILLARD - HAY
theft,1,-93.23452,44.980061,UNIVERSITY OF MINNESOTA
burglary,13,-93.253578,44.898251,DIAMOND LAKE
burglary,19,-93.269821,44.923531,REGINA
theft,9,-93.25618,44.962078,VENTURA VILLAGE
theft,16,-93.276947,44.964432,STEVENS SQUARE - LORING HEIGHTS
assault,0,-93.305679,44.999989,WILLARD - HAY
burglary,8,-93.239868,45.03017,WAITE PARK
theft,17,-93.281662,44.96965,LORING PARK
murder,17,-93.30811965,44.97172987,CARAG
burglary,21,-93.252449,45.010872,HOLLAND
theft,9,-93.231712,44.944141,LONGFELLOW
theft,16,-93.247131,45.030258,WAITE PARK
assault,2,-93.288368,45.007511,HAWTHORNE
murder,0,-93.28339467,44.97193191,WILLARD - HAY
theft,0,-93.225563,44.935719,HOWE
theft,13,-93.277107,44.969582,LORING PARK
theft,18,-93.294487,44.949032,LOWRY HILL EAST
theft,16,-93.236366,44.949348,LONGFELLOW
burglary,2,-93.258118,44.900082,DIAMOND LAKE
theft,1,-93.272781,44.980141,DOWNTOWN WEST
burglary,18,-93.23967,45.020569,AUDUBON PARK
theft,16,-93.328461,44.921951,LINDEN HILLS
murder,1,-93.30547538,44.99646697,WILLARD - HAY
theft,0,-93.239616,44.937988,CORCORAN
theft,14,-93.235069,44.97908,UNIVERSITY OF MINNESOTA
murder,22,-93.24442002,44.94976052,EAST PHILLIPS
theft,15,-93.273064,44.975922,DOWNTOWN WEST
burglary,21,-93.247177,45.006828,WINDOM PARK
theft,19,-93.2658,44.960239,PHILLIPS WEST
theft,10,-93.26709,44.96867,ELLIOT PARK
theft,0,-93.258911,44.968441,ELLIOT PARK
murder,20,-93.25529409,44.95307214,PHILLIPS WEST
theft,0,-93.272568,44.97958,DOWNTOWN WEST
murder,5,-93.2610315,44.95672994,MIDTOWN PHILLIPS
murder,1,-93.25933689,44.96020082,EAST PHILLIPS
burglary,11,-93.22464,44.95768,SEWARD
theft,0,-93.275833,44.911819,TANGLETOWN
theft,22,-93.24115,44.993198,BELTRAMI
burglary,23,-93.291451,45.018391,MCKINLEY
murder,20,-93.25408682,44.95364615,EAST PHILLIPS
theft,20,-93.318459,44.947369,WEST CALHOUN
theft,0,-93.264671,44.963848,VENTURA VILLAGE
theft,15,-93.277763,44.949291,WHITTIER
theft,16,-93.259109,44.93829,POWDERHORN PARK
burglary,1,-93.269836,44.940861,CENTRAL
burglary,23,-93.224388,44.98777,COMO
burglary,20,-93.296494,45.015739,FOLWELL
murder,21,-93.29486157,45.01010255,FOLWELL
murder,21,-93.29210534,45.00035837,NEAR - NORTH
theft,19,-93.321968,44.946819,WEST CALHOUN
murder,22,-93.25732079,44.97494486,DOWNTOWN EAST
theft,16,-93.278954,44.98579,NORTH LOOP
theft,0,-93.277809,44.965221,STEVENS SQUARE - LORING HEIGHTS
theft,19,-93.317947,44.948551,CEDAR - ISLES - DEAN
burglary,12,-93.260902,44.958939,MIDTOWN PHILLIPS
murder,22,-93.3006974,45.00662092,HAWTHORNE
burglary,8,-93.300247,45.008629,JORDAN
theft,18,-93.236366,44.949348,LONGFELLOW
murder,1,-93.2585803,44.95997721,VENTURA VILLAGE
theft,19,-93.25724,44.97715,DOWNTOWN EAST
burglary,22,-93.262672,44.94836,POWDERHORN PARK
murder,2,-93.27624458,44.98965698,HAWTHORNE
theft,12,-93.306953,45.0131,JORDAN
theft,18,-93.279091,44.95475,WHITTIER
murder,3,-93.26946439,44.9619812,PHILLIPS WEST
theft,21,-93.26844,44.998089,ST ANTHONY WEST
theft,0,-93.31427,44.950409,CEDAR - ISLES - DEAN
burglary,17,-93.224052,44.94809,LONGFELLOW
theft,17,-93.2892,44.998249,NEAR - NORTH
theft,8,-93.277809,44.96772,LORING PARK
burglary,1,-93.243179,44.938702,CORCORAN
theft,23,-93.277023,44.97802,DOWNTOWN WEST
theft,20,-93.262917,45.01033,HOLLAND
assault,0,-93.262413,44.972099,ELLIOT PARK
theft,10,-93.229698,45.00288,NORTHEAST PARK
murder,19,-93.30015978,45.01397847,FOLWELL
murder,14,-93.29237662,45.01993246,WEBBER - CAMDEN
murder,21,-93.2959222,45.01395548,HAWTHORNE
burglary,15,-93.308197,45.003868,JORDAN
burglary,15,-93.304092,45.015862,FOLWELL
theft,1,-93.273689,44.980419,DOWNTOWN WEST
burglary,12,-93.3041,45.016548,FOLWELL
theft,12,-93.261139,44.948502,MIDTOWN PHILLIPS
burglary,9,-93.310661,44.985119,WILLARD - HAY
burglary,16,-93.305351,44.998001,WILLARD - HAY
theft,0,-93.273163,44.95573,WHITTIER
theft,18,-93.297279,44.947441,CARAG
theft,12,-93.270149,44.98061,DOWNTOWN WEST
theft,18,-93.294678,44.957939,LOWRY HILL EAST
theft,0,-93.22464,44.96764,PROSPECT PARK - EAST RIVER ROAD
theft,0,-93.309639,44.908401,FULTON
theft,17,-93.236237,44.948109,LONGFELLOW
burglary,21,-93.272743,44.935951,CENTRAL
burglary,9,-93.232536,44.913559,KEEWAYDIN
theft,16,-93.275017,44.974751,DOWNTOWN WEST
burglary,18,-93.301147,44.896141,KENNY
burglary,13,-93.210426,44.94384,COOPER
theft,6,-93.301819,44.94865,EAST ISLES
burglary,20,-93.30481,45.013439,FOLWELL
theft,0,-93.234421,45.0065,WINDOM PARK
murder,1,-93.26000597,44.96021886,POWDERHORN PARK
theft,21,-93.225677,44.973469,PROSPECT PARK - EAST RIVER ROAD
murder,20,-93.29237038,45.00493693,NEAR - NORTH
theft,17,-93.315582,45.02285,CLEVELAND
burglary,19,-93.255432,44.948101,POWDERHORN PARK
murder,19,-93.30269841,45.01572696,JORDAN
murder,17,-93.28627815,45.01122906,WEBBER - CAMDEN
theft,0,-93.306839,44.981339,HARRISON
theft,12,-93.26899,44.98077,DOWNTOWN WEST
burglary,0,-93.249947,44.950069,EAST PHILLIPS
burglary,12,-93.3013,45.03447,WEBBER - CAMDEN
theft,15,-93.325493,44.917919,LINDEN HILLS
theft,16,-93.261307,44.954578,MIDTOWN PHILLIPS
murder,1,-93.25980059,44.96044052,VENTURA VILLAGE
theft,18,-93.265198,44.976471,DOWNTOWN WEST
theft,14,-93.292824,44.948849,LOWRY HILL EAST
theft,0,-93.280373,44.97477,DOWNTOWN WEST
burglary,7,-93.289261,44.966099,LOWRY HILL
murder,11,-93.29812418,45.01650686,LIND - BOHANON
murder,23,-93.22481588,44.90155098,WENONAH
burglary,10,-93.289139,44.936611,EAST HARRIET
murder,1,-93.29837687,44.99728387,WILLARD - HAY
theft,7,-93.275017,44.974751,DOWNTOWN WEST
theft,12,-93.27179,44.974442,DOWNTOWN WEST
theft,23,-93.317253,45.013248,CLEVELAND
theft,21,-93.268051,44.964371,VENTURA VILLAGE
theft,9,-93.231239,44.960159,SEWARD
theft,18,-93.2771,44.97678,DOWNTOWN WEST
burglary,0,-93.289658,45.023251,MCKINLEY
murder,22,-93.24090846,44.95120156,EAST PHILLIPS
murder,21,-93.29471134,45.02040557,FOLWELL
theft,17,-93.303589,44.986252,NEAR - NORTH
assault,22,-93.236382,44.982029,MARCY HOLMES
assault,19,-93.291656,44.944561,CARAG
murder,15,-93.28015553,44.96941597,WHITTIER
burglary,18,-93.245712,44.93578,STANDISH
burglary,11,-93.30481,44.996449,WILLARD - HAY
theft,20,-93.297737,45.013592,FOLWELL
theft,21,-93.309258,44.975719,BRYN - MAWR
murder,3,-93.24634617,44.92687715,WENONAH
murder,8,-93.27141249,44.96071385,WHITTIER
theft,13,-93.259483,44.949329,MIDTOWN PHILLIPS
theft,14,-93.266838,44.978142,DOWNTOWN WEST
burglary,23,-93.28643,44.95388,WHITTIER
theft,8,-93.312149,44.922989,LINDEN HILLS
theft,21,-93.26619,44.973679,DOWNTOWN WEST
theft,0,-93.31427,44.950409,CEDAR - ISLES - DEAN
theft,9,-93.313713,44.993721,WILLARD - HAY
assault,18,-93.268082,44.941921,CENTRAL
theft,12,-93.277733,44.988689,NORTH LOOP
theft,1,-93.285088,44.978859,NORTH LOOP
theft,6,-93.253761,44.950069,MIDTOWN PHILLIPS
theft,0,-93.246803,44.963379,SEWARD
theft,17,-93.308243,45.03521,VICTORY
burglary,7,-93.24913,45.00975,HOLLAND
assault,2,-93.245377,45.017929,AUDUBON PARK
murder,22,-93.26402484,44.95832116,VENTURA VILLAGE
theft,8,-93.247337,44.962662,SEWARD
murder,8,-93.29195644,45.0364945,JORDAN
theft,5,-93.241333,44.987572,MARCY HOLMES
theft,2,-93.273827,44.985271,NORTH LOOP
theft,22,-93.22924,45.014061,AUDUBON PARK
theft,19,-93.277634,44.962688,WHITTIER
theft,14,-93.256813,44.962719,VENTURA VILLAGE
theft,1,-93.228638,44.93412,STANDISH
murder,0,-93.23525287,44.96156798,SEWARD
assault,11,-93.309891,45.01712,CLEVELAND
murder,23,-93.29792877,45.01881857,FOLWELL
burglary,8,-93.300247,45.008629,JORDAN
theft,5,-93.269028,44.948349,PHILLIPS WEST
burglary,17,-93.305344,45.011559,JORDAN
theft,17,-93.272141,44.982189,DOWNTOWN WEST
murder,11,-93.27372108,44.95889736,PHILLIPS WEST
burglary,2,-93.264069,44.970619,ELLIOT PARK
theft,0,-93.261307,44.954578,MIDTOWN PHILLIPS
assault,21,-93.262558,44.962711,VENTURA VILLAGE
theft,22,-93.280838,44.966389,LORING PARK
theft,13,-93.252449,45.009762,HOLLAND
theft,15,-93.261353,44.972271,ELLIOT PARK
burglary,20,-93.232689,44.949989,LONGFELLOW
murder,22,-93.29524776,45.01022451,HAWTHORNE
theft,22,-93.276573,44.966282,STEVENS SQUARE - LORING HEIGHTS
burglary,8,-93.297203,45.022331,FOLWELL
burglary,1,-93.277809,44.965221,STEVENS SQUARE - LORING HEIGHTS
theft,20,-93.217522,44.93364,HOWE
theft,17,-93.281853,44.948769,WHITTIER
theft,2,-93.301422,44.979881,HARRISON
theft,13,-93.277763,44.94928,WHITTIER
theft,12,-93.271011,44.975498,DOWNTOWN WEST
theft,3,-93.218407,44.920261,HIAWATHA
theft,16,-93.246933,44.97319,CEDAR RIVERSIDE
theft,17,-93.286812,44.998562,NEAR - NORTH
theft,23,-93.2733,44.9813,DOWNTOWN WEST
burglary,11,-93.283798,45.005421,HAWTHORNE
theft,7,-93.25882,44.952961,MIDTOWN PHILLIPS
burglary,20,-93.275307,44.977139,DOWNTOWN WEST
theft,23,-93.263939,44.948349,PHILLIPS WEST
burglary,0,-93.290993,45.036121,LIND - BOHANON
murder,20,-93.27003181,44.93940386,PHILLIPS WEST
assault,4,-93.308601,44.99057,WILLARD - HAY
theft,0,-93.214943,44.932098,HOWE
burglary,5,-93.288437,44.96059,LOWRY HILL EAST
theft,19,-93.24707,45.034931,WAITE PARK
theft,8,-93.307739,45.004421,JORDAN
murder,2,-93.28088458,44.9934088,HAWTHORNE
murder,21,-93.29608765,45.00672037,JORDAN
murder,17,-93.29501655,45.00666702,JORDAN
murder,9,-93.2949497,45.02679432,JORDAN
theft,17,-93.247757,45.013031,HOLLAND
theft,11,-93.247551,45.004822,NORTHEAST PARK
theft,0,-93.269958,44.976841,DOWNTOWN WEST
murder,13,-93.30034931,45.0119362,JORDAN
murder,1,-93.30504937,45.00066522,FOLWELL
theft,11,-93.272408,44.94191,CENTRAL
